oferta	modalidad	administracion	examen	clasificacion	fecha_examen	pregunta	numRespuesta	texto	correcta
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Cuál de las siguientes actuaciones no podría calificarse como acto administrativo en sentido estricto?	1	La suspensión de un juez para el ejercicio de sus funciones, impuesta por el Consejo General del Poder Judicial.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Cuál de las siguientes actuaciones no podría calificarse como acto administrativo en sentido estricto?	2	La adjudicación de un contrato de suministro de material quirúrgico para el Hospital Reina Sofía.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Cuál de las siguientes actuaciones no podría calificarse como acto administrativo en sentido estricto?	3	La decisión del Jefe de Servicio de Cardiología del mismo Hospital de efectuar un by-pass a un paciente, que muere tras la realización de la intervención.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La orden de convocatoria de un concurso-oposición es	1	Un reglamento, porque se dirige a una multitud de personas.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La orden de convocatoria de un concurso-oposición es	2	Un acto administrativo, porque se integra en el ordenamiento jurídico y tiene vocación de permanencia.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La orden de convocatoria de un concurso-oposición es	3	Un acto administrativo con destinatario plural y que se agota con su cumplimiento o ejecución.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Por medio de la delegación se traslada	1	La titularidad de la competencia.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Por medio de la delegación se traslada	2	El ejercicio de la competencia.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Por medio de la delegación se traslada	3	Sólo la facultad de firmar los documentos en que se plasman los actos administrativos.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Si un particular sufre un accidente en la travesía de una población y presenta una reclamación de responsabilidad patrimonial ante el Ayuntamiento, creyéndolo titular de la vía y, en consecuencia, competente para su resolución, cuando en realidad lo es la Comunidad Autónoma,	1	El Ayuntamiento debe trasladar inmediatamente la reclamación al Consejero competente en materia de carreteras, por así disponerlo el artículo 20 LPAC.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Si un particular sufre un accidente en la travesía de una población y presenta una reclamación de responsabilidad patrimonial ante el Ayuntamiento, creyéndolo titular de la vía y, en consecuencia, competente para su resolución, cuando en realidad lo es la Comunidad Autónoma,	2	El Ayuntamiento puede avocar para sí la competencia de la Consejería.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	Si un particular sufre un accidente en la travesía de una población y presenta una reclamación de responsabilidad patrimonial ante el Ayuntamiento, creyéndolo titular de la vía y, en consecuencia, competente para su resolución, cuando en realidad lo es la Comunidad Autónoma,	3	El Ayuntamiento puede declararse incompetente, por falta de titularidad sobre la vía, por lo que el particular habrá de interponer una nueva reclamación ante la Comunidad Autónoma, si quiere ver satisfecha su pretensión.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La desconcentración	1	Se lleva a cabo por medio de una norma.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La desconcentración	2	Se realiza mediante un acto administrativo, que ha de ser necesariamente publicado.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La desconcentración	3	Ha de llevarse a cabo por medio de una Ley.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Director Gerente del Servicio Murciano de Salud (SMS) funciones relativas a la gestión del personal que presta servicio en los centros sanitarios adscritos al referido Ente?	1	No, porque el SMS no depende de esa Consejería.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Director Gerente del Servicio Murciano de Salud (SMS) funciones relativas a la gestión del personal que presta servicio en los centros sanitarios adscritos al referido Ente?	2	Sí, porque no es necesario que exista una dependencia jerárquica entre delegante y delegado.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Director Gerente del Servicio Murciano de Salud (SMS) funciones relativas a la gestión del personal que presta servicio en los centros sanitarios adscritos al referido Ente?	3	No, porque la LPAC prohíbe la delegación de competencias de carácter gestor.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, ¿podría avocar la Consejera de Sanidad el conocimiento de un asunto relativo a las competencias delegadas por la Consejera de Hacienda y Administración Pública en el director Gerente del SMS?	1	Sí, porque el Director Gerente depende jerárquicamente de la Consejera de Sanidad.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, ¿podría avocar la Consejera de Sanidad el conocimiento de un asunto relativo a las competencias delegadas por la Consejera de Hacienda y Administración Pública en el director Gerente del SMS?	2	No, sólo podría hacerlo la Consejera delegante.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	En el supuesto anterior, ¿podría avocar la Consejera de Sanidad el conocimiento de un asunto relativo a las competencias delegadas por la Consejera de Hacienda y Administración Pública en el director Gerente del SMS?	3	Sí, puede hacerlo cualquiera de las dos Consejeras.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Secretario Autonómico competente en materia de Función Pública la aprobación del Reglamento General de Provisión de Puestos de Trabajo en la Administración regional?	1	Sí, porque el Secretario Autonómico depende orgánica y funcionalmente de la referida Consejera.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Secretario Autonómico competente en materia de Función Pública la aprobación del Reglamento General de Provisión de Puestos de Trabajo en la Administración regional?	2	No, porque el indicado reglamento es una disposición de carácter general.	Yes
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	¿Puede la Consejera de Hacienda y Administración Pública delegar en el Secretario Autonómico competente en materia de Función Pública la aprobación del Reglamento General de Provisión de Puestos de Trabajo en la Administración regional?	3	Sí, porque la Consejera puede delegar todas sus competencias, con el único requisito de que publique el acto por el que se efectúa la delegación.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La figura de la encomienda de gestión ¿es apta para encomendar a una empresa privada los servicios de limpieza de los edificios públicos de la Comunidad Autónoma?	1	Sí, porque se trata de actividades de servicios.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La figura de la encomienda de gestión ¿es apta para encomendar a una empresa privada los servicios de limpieza de los edificios públicos de la Comunidad Autónoma?	2	Sí, porque esta figura se puede utilizar para privatizar servicios y actividades públicas.	No
2008	CURSO	CARM	EAP PAC	ADM. ELECTRONICA-PAC	12/05/2008	La figura de la encomienda de gestión ¿es apta para encomendar a una empresa privada los servicios de limpieza de los edificios públicos de la Comunidad Autónoma?	3	No, porque las actividades encomendadas recaerían sobre personas sujetas al Derecho privado.	Yes
